"polygons.SIMPLE_NAME","polygons.MAIN_ROCK","polygons.UNIT_CODE","polygons.DESCRIPTION","polygons.MAP_UNIT","polygons.groupID_AhdiAK"
"Neogene sedimentary rocks","sandstone","lPml","Sandstone, mudstone and minor shell lenses","Undifferentiated lower Late Pli*","15_undifSed"
"Middle Pleistocene shoreline deposits","gravel","Q11b","Rangitatau terrace coverbreds comprising a range of shallow marine to paralic sediments.","Rangitatau marine terrace deposits","16_terrace"
"Late Pleistocene - Holocene river deposits","gravel","uQal","Weathered undifferentiated poorly sorted loess-covered alluvial gravel deposits","Undifferentiated Quaternary all*","06_alluvium"
"Late Pleistocene igneous rocks","basalt","lQw","tholeiitic basalt with abundant olivine and clinopyroxene phenocrysts forming flows and a scoria cone"," ","18_crystalline"
"Early Pleistocene igneous rocks","andesite lava","eQvsl","Hornblende andesite lava and breccia"," ","18_crystalline"
"Middle Pleistocene lahar deposits","debris","Q8hi","Bedded sands and conglomerate overlain by laharic andesite breccia","Maitahi Fm over Q9 beach deposit","09_beachBarDune"
"Middle Pleistocene shoreline deposits","gravel","Q9b","Braemore & Brunswick terrace coverbeds comprising shallow marine conglomerate, shellbeds, dune sands and peat","Braemore & Brunswick marine terrace deposits","16_terrace"
"Pleistocene igneous rocks","andesite","Qta","Undifferentiated andesite lava flows exposed north of Mt Tongariro and isolated outcrops in Tongariro River","Undifferentiated Tongariro Subgroup","18_crystalline"
"Holocene human-made deposits","breccia","Q1n","Semi-consolidated fill deposits consisting of sand, boulders and rock","Reclaimed land","04_fill"
"Middle Pleistocene lahar deposits","debris","Q6h","Laharic breccia of andesite cobbles and boulders in a muddy matrix"," ","15_undifSed"
"Late Pleistocene windblown deposits","sand","lQdk","Massive to cross bedded, well sorted tephric sand, interbedded with minor primary airfall deposits"," ","11_loess"
"Late Pleistocene lahar deposits","gravel","Q3hk","Multiple beds of consolidated andesitic conglomerate and sand"," ","15_undifSed"
"Pleistocene - Holocene shoreline deposits","gravel","uQb","Undifferentiated beach deposits generally consisting of marine sand on highest raised terraces","Undifferentiated Quaternary beach deposits","09_beachBarDune"
"Neogene sedimentary rocks","sandstone","mMo","Pebbly sandstone, fine-grained sandstone, sandy siltstone and limestone"," ","15_undifSed"
"Late Pleistocene igneous rocks","andesite","Q2th2","Andesite lava flows from North Crater"," ","18_crystalline"
"Pleistocene - Holocene river deposits","gravel","uQal","Weathered undifferentiated poorly sorted loess-covered alluvial gravel deposits","Undifferentiated Quaternary alluvium","06_alluvium"
"Early Pleistocene lahar deposits","debris","eQho","Laharic breccia of andesite cobbles overlying sandstone and conglomerate beach deposits","Old Fm over Q13 beach deposits","09_beachBarDune"
"Late Pleistocene river deposits","gravel","Q2af","Alluvial and colluvial fan deposits consisting of poorly sorted, weakly consolidated gravel, sand, clay and loess","Ohakean alluvial and colluvial f","06_alluvium"
"Late Pleistocene - Holocene lahar deposits","gravel","lQh","Massive to well bedded andesitic gravel and sand, and minor debris deposits","Undifferentiated late Quaternar*","15_undifSed"
"Middle Pleistocene lahar deposits","debris","Q8hi","Laharic breccia of andesite cobbles overlain in places by well sorted| dune-bedded tephric sand","Katikara dunes over Maitahi Fm","09_beachBarDune"
"Late Pleistocene lahar deposits","gravel","Q3hh","Massive to well bedded andesitic gravel and sand, and minor debris deposits","Undifferentiated Late Quaternary lahars (Ruapehu)","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q6al","Very weathered, poorly to moderately sorted gravel and loess with minor sand and silt underlying terraces; includes minor fan d*","Marton alluvial terrace deposits","16_terrace"
"Late Pleistocene igneous rocks","andesite","Q3th1","Heavily faulted andesite lava flows from North Crater"," ","18_crystalline"
"Late Pleistocene igneous rocks","andesite","Q2th3","Andesite lava flows from North Crater"," ","18_crystalline"
"Middle Pleistocene lahar deposits","debris","Q8hi","Laharic breccia of andesite cobbles and Tertiary mudstone rip-up clasts in a muddy matrix","Maitahi Fm over Old Fm","15_undifSed"
"Late Pleistocene igneous rocks","andesite","lQvp","pyroclastic deposits, volcanic breccia and dark grey basaltic andesite flows with conspicuous olivine phenocrysts"," ","18_crystalline"
"Holocene igneous rocks","andesite","Q1tm3","Andesite lava from lower Te Mari crater"," ","18_crystalline"
"Late Pleistocene igneous rocks","andesite","Q2tm2","Andesite lava flows from vents near lower Te Mari Crater"," ","18_crystalline"
"Middle Pleistocene lahar deposits","debris","Q8hi","Laharic breccia of andesite cobbles and boulders, and large rip-up clasts of Tertiary mudstone in a muddy matrix"," ","15_undifSed"
"Neogene sedimentary rocks","mudstone","lPmu","Locally fossiliferous and tuffaceous massive mudstone, minor sandstone","Undifferentiated upper Late Pli*","15_undifSed"
"Holocene igneous rocks","andesite","Q1tm4","Andesite lava and scoria from upper Te Mari crater"," ","18_crystalline"
"Late Pleistocene igneous rocks","andesite","Q3tm1","Oldest andesite lava flows erupted from vents near Te Mari craters"," ","18_crystalline"
"Early Pleistocene igneous rocks","ignimbrite","eQr","bedded fall deposits and crystal-rich, non-welded ignimbrite with conspicuous biotite"," ","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","sandstone","?Jtk","massive fine-grained sandstone, well-bedded sandstone and mudstone, broken formation and melange"," ","15_undifSed"
"Late Pleistocene river deposits","gravel","Q4al","Weathered, poorly to moderately sorted gravel and loess with minor sand and silt underlying terraces; includes minor fan deposi*","Porewa alluvial terrace deposits","16_terrace"
"Neogene sedimentary rocks","sandstone","lPmj","Alternating sandstone, mudstone and conglomerate"," ","15_undifSed"
"Middle Pleistocene - Late Pleistocene igneous rocks","andesite","mQti","Andesite, basaltic andesite, pyroclastic deposits, breccia, tuff; includes ""Pounamu Tuff breccia"" of Nairn 1997"," ","18_crystalline"
"Late Pleistocene igneous rocks","andesite","Q5ts","Extensive andesite lava flows, vent breccias, tephra, minor lake sediments and mantling scoria deposits"," ","18_crystalline"
"Holocene lahar deposits","breccia","Q1hk","Poorly sorted ouldery gravel, debris hyperconcentrated flow deposits, sand, silt, paleosol and peat","debris avalanche deposits at Ke*","15_undifSed"
"Late Pleistocene igneous rocks","andesite","Q2th4","Youngest andesite lava flows and minor scoria from North Crater"," ","18_crystalline"
"Late Pleistocene igneous rocks","scoria","Q2ths","Welded and non-welded scoriaceous andesite mantling upper slopes of North Crater"," ","18_crystalline"
"Middle Pleistocene igneous rocks","andesite lava","mQvk","Deeply weathered, often silicifed andesite lava"," ","18_crystalline"
"Late Pleistocene igneous rocks","andesite","Q3tu","Poorly exposed andesite lavas and thin, widely dispersed welded scorias"," ","18_crystalline"
"Late Pleistocene igneous rocks","andesite","Q2tb","Andesite lava and welded scoria from Blue Lake crater; includes ""Rotopaunga Scoria"" of Nairn 1997"," ","18_crystalline"
"Late Pleistocene river deposits","gravel","Q3al","Moderately weathered, poorly to moderately sorted gravel with minor sand and silt underlying terraces; includes minor fan depos*","Rata alluvial terrace deposits","16_terrace"
"Late Pleistocene river and estuary deposits","gravel","lQallQae","Alluvial gravel and estuarine sediments.","alluvial and estuarine deposits","06_alluvium"
"Late Pleistocene lahar deposits","debris","Q2hr","Laharic breccia of andesite cobbles overlain in places by ashy bedded sands and conglomerate","Warea Fm over Ngaere Fm","15_undifSed"
"Early Pleistocene igneous rocks","ignimbrite","eQi","blocky, jointed ignimbrite","undifferentiated early Quaterna*","18_crystalline"
"Holocene igneous rocks","basalt","Q1td3","Basalt lava flows and scoria","Red Crater Andesite and scoria","18_crystalline"
"Late Pleistocene - Holocene glacier deposits","gravel","lQt","Bouldery diamictons of volcanic clasts set in a sandy muddy matrix","Undifferentiated late Quaternar*","15_undifSed"
"Holocene lahar deposits","gravel","Q1afh","Gravel and sand, with common boulders, and intermixed andesitic tephra"," ","15_undifSed"
"Late Pleistocene lahar deposits","debris","Q2hp","Laharic breccia of andesite cobbles overlain in places by ashy bedded sands and conglomerate","Warea Fm over Pungarehu Fm","15_undifSed"
"Middle Pleistocene - Late Pleistocene glacier deposits","gravel","uQt","Poorly sorted boulder sized angular to subangular clasts in stiff clay matrix","Undifferentiated Quaternary til*","15_undifSed"
"Holocene lahar deposits","debris","Q1hm","Laharic breccia including large (up to 35 m) andesite blocks in a muddy matrix"," ","15_undifSed"
"Holocene hill slope deposits","gravel","Q1s","Unconsolidated gravel and large boulders","Holocene scree deposits","15_undifSed"
"Holocene igneous rocks","andesite","Q1tn","Andesite to basaltic andesite lava, scoria and pyroclastic avalanche deposits flows from Ngauruhoe"," ","18_crystalline"
"Holocene igneous rocks","andesite","Q1td2","Olivine andesite flows"," ","18_crystalline"
"Late Pleistocene igneous rocks","andesite","Q5tw","Extensive andesite to dacite lava flows, vent breccias, intrusive bodies, scoria, tephra and debris flow deposits"," ","18_crystalline"
"Neogene sedimentary rocks","limestone","ePmp","Well cemented limestone, conglomerate and sandstone","limestone","15_undifSed"
"Late Pleistocene lahar deposits","debris","Q2hp","Laharic breccia of andesite cobbles and boulders in a muddy matrix"," ","15_undifSed"
"Holocene igneous rocks","andesite","Q1td1","Extensive, pressure-ribbed olivine andesite flows"," ","18_crystalline"
"Middle Pleistocene - Late Pleistocene igneous rocks","andesite","mQpk","Andesite lava"," ","18_crystalline"
"Late Pleistocene igneous rocks","andesite","Q2pk","Dark, olivine andesite flows, scoria, lapilli and ash"," ","18_crystalline"
"Holocene igneous rocks","pyroclastic breccia","Q1tc","Scoriaceous and lithic andesitic fall deposits"," ","18_crystalline"
"Late Pleistocene igneous rocks","ignimbrite","?Q3o","Non-welded ignimbrite, fall deposits and reworked ignimbrite"," ","18_crystalline"
"Late Pleistocene igneous rocks","andesite lava","Q5vg","Hornblende andesite lava","German Hill lava","18_crystalline"
"Late Pleistocene igneous rocks","andesite lava","Q3vm","Medium grey, phenocryst-rich andesite lava and breccia"," ","18_crystalline"
"Middle Pleistocene igneous rocks","andesite","mQvt","Pale-grey, crystal rich andesite flows, dikes, plugs and tuffs"," ","18_crystalline"
"Neogene sedimentary rocks","sandstone","Mga","Repeated sequences of sandstone, siltstone, shellbeds and minor conglomerate"," ","15_undifSed"
"Late Pleistocene igneous rocks","andesite lava","Q2v","Hornblende andesite lava","Pukeiti lava","18_crystalline"
"Middle Pleistocene igneous rocks","andesite","mQtg","Hornblende-bearing andesite with minor basaltic andesite"," ","18_crystalline"
"Late Pleistocene shoreline deposits","sand","Q3b","sand and gravel","marine terrace","16_terrace"
"Middle Pleistocene - Late Pleistocene lahar deposits","gravel","lQh","Massive to well bedded andesitic gravel and sand, and minor debris deposits","Undifferentiated lQ lahars","15_undifSed"
"Holocene igneous rocks","ignimbrite","Q1ati","Primary, non-welded ignimbrite and reworked deposits from the Taupo eruption. Includes Q1al alluvial gravel, sand and mud.","primary and reworked ignimbrite*","18_crystalline"
"Holocene igneous rocks","pyroclastic breccia","Q1tl","Basaltic andesite to dacite scoria, pumice, tephra and lithic clasts, and surge and fall deposits"," ","18_crystalline"
"Middle Pleistocene igneous rocks","andesite","mQta","Silicic andesite lavas"," ","18_crystalline"
"Middle Pleistocene - Late Pleistocene igneous rocks","andesite","mQtk","Flows of plagioclase-pyroxene andesite"," ","18_crystalline"
"Holocene igneous rocks","gravel","Q1vm","Multiple beds of unconsolidated andesitic conglomerate and sand, with minor pyroclastic flow deposits"," ","18_crystalline"
"Middle Pleistocene igneous rocks","andesite lava","mQvp","Hornblende and augite andesite lava and breccia"," ","18_crystalline"
"Late Pleistocene - Holocene igneous rocks","andesite","Q1vwi","Whakapapa Formation; valley-filling andesite flows on NW flank of Mt Ruapehu"," ","18_crystalline"
"Neogene sedimentary rocks","sandstone","Pga","Repeated sequences of sandstone, siltstone, shellbeds and minor conglomerate"," ","15_undifSed"
"Late Pleistocene igneous rocks","andesite","Q3vm","crystal-rich lava flows ranging from basalt to dacite, and tuff"," ","18_crystalline"
"Late Pleistocene glacier deposits","gravel","uQt","Weathered, poorly consolidated, massive gravel, sand and mud with frequent large boulders","Undifferentiated Quaternary till","15_undifSed"
"Middle Pleistocene shoreline deposits","sand","Q6b","sand and gravel","marine terrace deposits","16_terrace"
"Late Pleistocene - Holocene igneous rocks","andesite lava","Q1vwi","Dark grey, phenocryst-poor andesite lava and breccia"," ","18_crystalline"
"Late Pleistocene lahar deposits","debris","Q3ha","Laharic breccia of andesite cobbles and boulders in a muddy matrix"," ","15_undifSed"
"Early Pleistocene igneous rocks","andesite lava","eQvh","Weathered, brown andesite to basaltic andesite lava, pyroclastic breccia and tuff"," ","18_crystalline"
"Holocene igneous rocks","andesite","Q1vw","undifferentiated Whakapapa Formation; valley-filling andesite flows, breccia and pyroclastic deposits"," ","18_crystalline"
"Neogene sedimentary rocks","limestone","lPmx","Alternating sequences of limestone, sandstone, mudstone and conglomerate"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","?ePmp","Well cemented limestone, conglomerate and sandstone","limestone","15_undifSed"
"Late Cretaceous sedimentary rocks","sandstone","lKrilKrp","Alternating sandstone and minor mudstone."," ","15_undifSed"
"Middle Pleistocene igneous rocks","andesite lava","mQvt","Medium to pale grey, phenocryst-rich andesite lava and minor block-and-ash-fall deposits"," ","18_crystalline"
"Holocene lahar deposits","gravel","Q1ht","Multiple beds of unconsolidated andesitic conglomerate and sand"," ","15_undifSed"
"Paleogene - Neogene sedimentary rocks","none","Egw+Ogw~","Mudstone, limestone, sandstone"," ","15_undifSed"
"Late Pleistocene igneous rocks","andesite","lQva","crystal-rich andesite lava flows, tuff, breccia, minor interbedded debris flows, and lenses and dikes of intrusive andesite lav*"," ","18_crystalline"
"Holocene igneous rocks","andesite lava","Q1vl","Andesite lava forming cumulodomes","Undifferentiated Holocene andesite","18_crystalline"
"Early Pleistocene sedimentary rocks","sandstone","eQmk","Coarse calcareous sandstone, limestone and conglomerate"," ","15_undifSed"
"Late Pleistocene - Holocene glacier deposits","gravel","lQt","Poorly consolidated, massive gravel and sand with frequent large boulders","Undifferentiated Late Quaternary","15_undifSed"
"Late Pleistocene lahar deposits","gravel","Q2ht","Massive to well bedded andesitic gravel and sand, and minor debris deposits","Undifferentiated Late Quaternary lahars (Ruapehu)","15_undifSed"
"Late Pleistocene - Holocene igneous rocks","andesite lava","Q1vwk","Multiple flows of hornblende andesite lava forming an older, partially eroded cone","Warwick lava","18_crystalline"
"Neogene sedimentary rocks","limestone","ePmw","Sandy limestone with coquina beds.","Whakapunake Limestone","15_undifSed"
"Neogene sedimentary rocks","limestone","ePmw~","sandy shelly limestone"," ","15_undifSed"
"Holocene igneous rocks","andesite lava","Q1vst","Multiple flows of hornblende andesite lava","Staircase lava","18_crystalline"
"Neogene sedimentary rocks","mudstone","ePmz~","Siltstone, sandstone, tuff beds."," ","15_undifSed"
"Holocene igneous rocks","andesite lava","Q1vpt","Multiple flows of hornblende andesite lava","Peters lava","18_crystalline"
"Holocene igneous rocks","andesite lava","Q1vsk","Multiple flows of andesitic to basaltic andesite lava","Skeet lava","18_crystalline"
"Neogene sedimentary rocks","limestone","lPma","Alternating limestone and sandstone with minor conglomerate"," ","15_undifSed"
"Holocene igneous rocks","andesite lava","Q1vsu","Multiple flows of andesitic to basaltic andesite lava","Summit lava","18_crystalline"
"Holocene windblown deposits","sand","Q1d","Aeolian beach and andesitic sand deposited at the coast and Ruapehu ringplain","Holocene coastal dune sands and*","11_loess"
"Holocene lahar deposits","gravel","Q1ah","Massive, poorly sorted, matrix supported gravel, sand and silt","undifferentiated Holocene debri*","15_undifSed"
"Holocene lahar deposits","debris","Q1hu","Laharic breccia of andesite cobbles and boulders in a muddy matrix"," ","15_undifSed"
"Holocene igneous rocks","andesite lava","Q1vf","Multiple flows of andesite to basaltic-andesite lava and breccia","Fanthams Peak lava","09_beachBarDune"
"Neogene sedimentary rocks","conglomerate","lMtb","Non- to marginal marine conglomerate and cross-bedded sandstone"," ","15_undifSed"
"Holocene lahar deposits","debris","Q1hr","Laharic breccia of andesite cobbles and boulders in a muddy matrix"," ","15_undifSed"
"Late Pleistocene igneous rocks","andesite","Q2vm","morphologically fresh, crystal-rich lava flows ranging from basalt to dacite, and tuff"," ","18_crystalline"
"Neogene sedimentary rocks","limestone","MPg","Repeated sequences of limestone, sandstone, mudstone and minor conglomerate"," ","15_undifSed"
"Holocene lahar deposits","debris","Q1hu","Laharic breccia of andesite cobbles with little or no tephra cover forming mounds","Opua Fm over Pungarehu Fm","15_undifSed"
"Middle Pleistocene - Late Pleistocene river deposits","gravel","lQaf","Moderately weathered undifferentiated poorly sorted gravel, sand, clay and loess and Q1at pumice alluvium.","Late Quaternary fan gravels and*","10_fan"
"Neogene sedimentary rocks","limestone","Mga","Repeated sequences of limestone, sandstone, mudstone and minor conglomerate"," ","15_undifSed"
"Late Pleistocene lahar deposits","debris","Q4hs","Laharic breccia of andesite cobbles in a muddy matrix, and conglomerate and sand with interbedded peat"," ","15_undifSed"
"Late Pleistocene - Holocene igneous rocks","andesite lava","Q1vwr","Dark grey, phenocryst-poor andesite lava and breccia"," ","18_crystalline"
"Middle Pleistocene igneous rocks","andesite lava","lQva","Medium grey, phenocryst-rich andesite lava"," ","18_crystalline"
"Middle Pleistocene lahar deposits","debris","Q10he","Laharic andesite breccia with mud, sand and lignite, buried by thick tephra deposits"," ","15_undifSed"
"Paleogene sedimentary rocks","mudstone","Piw-Ogw","see Waipawa , Wanstead  & Weber Fms."," ","15_undifSed"
"Paleogene sedimentary rocks","mudstone","Piw-Ogw~","see Waipawa , Wanstead  & Weber Fms."," ","15_undifSed"
"Holocene lahar deposits","debris","Q1hu","Bedded sands and conglomerate overlain by laharic andesite breccia with little tephra cover","Opua Fm over Warea Fm","15_undifSed"
"Late Pleistocene lahar deposits","gravel","lQh","Laharic conglomerate and alluvium","lQ alluvium and lahar deposits","15_undifSed"
"Late Pleistocene river deposits","gravel","Q2af","Alluvial and colluvial fan deposits consisting of poorly sorted, weakly consolidated gravel, sand, clay and loess","Ohakea alluvial and colluvial f*","06_alluvium"
"Middle Pleistocene - Late Pleistocene lahar deposits","gravel","?uQh","Poorly sorted boulders, gravel and sand","undifferentiated Quaternary lah*","15_undifSed"
"Middle Pleistocene - Late Pleistocene glacier deposits","gravel","?uQt","Poorly sorted boulder sized angular to subangular clasts in stiff clay matrix","undifferentiated Quaternary till","15_undifSed"
"Late Pleistocene lahar deposits","gravel","?Q2ht","Poorly sorted boulders, gravel and sand"," ","15_undifSed"
"Early Pleistocene river, lake and shoreline deposits","gravel","eQp","lacustrine and fluvial sediments","alluvium","06_alluvium"
"Late Pleistocene igneous rocks","andesite lava","Q3vo","Reddish-brown, andesitic scoria and lava with common olivine phenocrysts"," ","18_crystalline"
"Neogene sedimentary rocks","mudstone","Pt","Massive mudstone interbedded with well sorted, fine to medium, micaceous sandstone"," ","15_undifSed"
"Late Pleistocene lahar deposits","debris","Q3hk","Conglomerate overlying laharic breccia of andesite cobbles with peat","Opunake Fm over Stratford Fm","15_undifSed"
"Neogene sedimentary rocks","limestone","lPms","Pebbly, barnacle rich limestone and sandstone"," ","15_undifSed"
"Middle Pleistocene lahar deposits","debris","Q10he","Laharic breccia of andesite cobbles overlying sandstone and conglomerate beach deposits","Eltham Fm over Q11 beach deposits","09_beachBarDune"
"Neogene sedimentary rocks","limestone","Pga","Repeated sequences of limestone, sandstone, mudstone and minor conglomerate"," ","15_undifSed"
"Late Pleistocene lahar deposits","debris","Q4hs","Laharic breccia of andesite cobbles overlying bedded sands and conglomerate","Stratford Fm over Q7 beach deposits","09_beachBarDune"
"Neogene sedimentary rocks","sandstone","Pw","Repeated sequences of pebbly to well sorted sandstone, poorly fossiliferous siltstone and coquina shell beds"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","?Pga","Alternating limestone, sandstone, mudstone and conglomerate"," ","15_undifSed"
"Holocene estuary deposits","mud","Q1ae","Unconsolidated mud, sand and peat","estuarine deposits","05_fluvialEstuarine"
"Late Pleistocene lahar deposits","debris","Q4hs","Laharic breccia of andesite cobbles overlying bedded sands| peat and conglomerate","Stratford Fm over Q5 beach deposits","09_beachBarDune"
"Neogene sedimentary rocks","mudstone","Pt","Mudstone with concretionary sandstone"," ","15_undifSed"
"Middle Pleistocene river deposits","gravel","mQal","undifferentiated middle Pleistocene alluvial gravels","Middle Quaternary alluvial terr*","06_alluvium"
"Holocene human-made deposits","breccia","Q1n","Semi-consolidated fill deposits consisting of sand boulders and rock","Reclaimed land","04_fill"
"Late Pleistocene lahar deposits","gravel","Q3ha","Conglomerate| sand and peat overlain by laharic andesite breccia","Ngaere Fm over Opunake Fm","15_undifSed"
"Neogene sedimentary rocks","sandstone","lPmc","Calcareous, cross-bedded sandstone and limestone"," ","15_undifSed"
"Late Pleistocene lahar deposits","gravel","Q3hk","Bedded sands| peat and andesite conglomerate","Opunake Fm over Q5 beach deposits","09_beachBarDune"
"Neogene sedimentary rocks","limestone","?lPms","Pebbly, barnacle rich limestone and sandstone"," ","15_undifSed"
"Neogene sedimentary rocks","mudstone","?Pt","Massive mudstone with interbedded sandstone and large concretions"," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","Pp","Thin pebbly shell beds and massive, well sorted sandstone in the west, and massive silty mudstone in the east"," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","Pu","Muddy, very fine sandstone"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","lPme","Pebbly, barnacle-rich limestone and sandstone"," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","Pu","Sandstone, concretionary sandstone and sandy mudstone"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","Puo","Conglomeratic limestone and sandstone","Omatane Limestone Member","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","Ktw","Well-bedded alternating sandstone and mudstone"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","lPmm","Pebbly, barnacle-rich limestone, sandstone and siltstone"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","?Puo","Conglomeratic limestone"," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","?Pu","Fine-grained sandstone, sandy mudstone, concretionary sandstone and limestone"," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","lPmn","Alternating sandstone, limestone and mudstone"," ","15_undifSed"
"Late Pleistocene shoreline deposits","sand","Q5b","Beach and shallow marine sand, gravel and mud","Last Interglacial marine deposi*","15_undifSed"
"Neogene sedimentary rocks","mudstone","Pp","Massive mudstone, concretionary sandstone; limestone and conglomerate in the east"," ","15_undifSed"
"Neogene sedimentary rocks","mudstone","Pal","Bioclastic limestone, massive sandstone and siltstone, and minor conglomerate"," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","Pr","Sandstone, concretionary sandstone, mudstone, limestone, conglomerate"," ","15_undifSed"
"Neogene sedimentary rocks","mudstone","Pau","Bioclastic limestone, sandstone, massive siltstone and minor conglomerate"," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","lPm","Shallow water conglomerate, sandstone, siltstone and limestone; deeper water mudstone and sandy mudstone","Undifferentiated Pliocene","15_undifSed"
"Neogene sedimentary rocks","limestone","lPmb","Yellow-grey, cross-bedded, barnacle-rich limestone"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","lPmt","Yellow-grey, giant foreset-bedded, coarse-grained, barnacle-rich limestone"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","lPmp","Pale grey-white, coarse, barnacle-rich limestone with high angle cross-beds"," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","Prm","Cross-bedded sandstone, siltstone and conglomerate"," ","15_undifSed"
"Paleogene sedimentary rocks","mudstone","Ogw","Calcareous mudstone, limestone and alternating sandstone and mudston"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","lPmi","Soft, barnacle-rich, creamy-yellow limestone"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","Pn","Coquina limestone and sandstone ranging from pebbly to well sorted"," ","15_undifSed"
"Early Pleistocene shoreline deposits","gravel","Q17b","Marorau terrace coverbreds comprising a range of shallow marine to paralic sediments.","Marorau marine terrace deposits","16_terrace"
"Neogene sedimentary rocks","sandstone","Prm","Weakly bedded, bioturbated sandstone and siltstone"," ","15_undifSed"
"Late Pleistocene river deposits","gravel","Q3af","Alluvial and colluvial fan deposits consisting of poorly sorted, weakly consolidated gravel, sand, clay and loess","Rata alluvial and colluvial fan*","10_fan"
"Neogene sedimentary rocks","limestone","ePmk","Yellow-grey, barnacle-rich, sandy limestone and cross-bedded sandstone"," ","15_undifSed"
"Early Pleistocene shoreline deposits","gravel","Q15b","Piri terrace coverbreds comprising a range of shallow marine to paralic sediments.","Piri marine terrace deposits","16_terrace"
"Late Pleistocene shoreline deposits","gravel","Q1d","Conglomerate and bedded sand overlain by unconsolidated sand","Rakaupiko marine terrace deposits and overlying fixed dunes","09_beachBarDune"
"Late Pleistocene shoreline deposits","gravel","?Q5b","beach deposits of marine gravel and sand, with overlying loess deposits","beach deposits","09_beachBarDune"
"Neogene sedimentary rocks","mudstone","Prt","Sandy coquina limestone, poorly-fossiliferous, bioturbated massive siltstone and well sorted sandstone","Tikapu and Makohine formations","15_undifSed"
"Neogene sedimentary rocks","sandstone","eMtp","Glauconitic sandstone and mudstone with olistostrome deposits; tuffaceous towards the top"," ","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q6al","Weathered, poorly to moderately sorted gravel with minor sand and silt underlying eroded terraces; includes minor fan deposits a","Marton alluvial terrace deposits","16_terrace"
"Holocene windblown deposits","sand","Q1da","Loose sand in active unvegetated or sparsely vegetated dune fields and deflation zones.","Holocene mobile dunes","11_loess"
"Neogene sedimentary rocks","siltstone","Prt","Alternating siltstone, sandstone and limestone"," ","15_undifSed"
"Late Cretaceous - Neogene melange","melange","mel","undifferentiated Whangai, Wanstead and Weber formations and Early Miocene in a sheared matrix","Undifferentiated Late Cretaceou*","15_undifSed"
"Holocene windblown deposits","gravel","Q1da","Conglomerate and bedded sand overlain by loose sand","Rakaupiko marine terrace deposits and overlying mobile dunes","11_loess"
"Neogene sedimentary rocks","mudstone","Pro","Sandy to silty coquina limestone, and poorly-fossiliferous, bioturbated siltstone and sandstone","Orangipongo, Mangaonoho & Vinegar Hill formations","15_undifSed"
"Neogene sedimentary rocks","mudstone","Pm","Sandstone, mudstone, limestone shell beds, carbonaceous siltstone and lignite"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","Pro","Alternating limestone, sandstone and siltstone"," ","15_undifSed"
"Basement (Eastern Province) melange","sandstone","Kep","Sandstone blocks and packets of thin-bedded sandstone and mudstone in a sheared mudstone matrix"," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","Ktp","Alternating sandstone and mudstone, massive mudstone and concretionary mudstone"," ","15_undifSed"
"Early Pleistocene sedimentary rocks","mudstone","eQo","Sandstone, siltstone, conglomerate and shell beds"," ","15_undifSed"
"Early Pleistocene sedimentary rocks","mudstone","eQk","Sandstone, siltstone, bioclastic limestone, conglomerate and pumiceous sand"," ","15_undifSed"
"Late Cretaceous sedimentary rocks","sandstone","Kb","Well-bedded, alternating sandstone, mudstone and conglomerate"," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","Pm","Pumiceous and non-pumiceous sanstone, mudstone, conglomerate and lignite"," ","15_undifSed"
"Early Cretaceous igneous rocks","basalt","Kav","Basalt,limestone, chert","volcanics at Red Island and Hin*","18_crystalline"
"Early Pleistocene - Middle Pleistocene sedimentary rocks","sandstone","mQs","Sandstone, siltstone, bioclastic limestone and conglomerate, including OIS 15-9 marine terrace deposits"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","lPmy","Ridge-forming sandstone or limestone horizons mapped from aerial photographs","Undifferentiated limestone or s*","15_undifSed"
"Neogene sedimentary rocks","limestone","mMtl","Sandy to pebbly pinkish pebbly limestone with barnacle debris","Middle Miocene limestone","15_undifSed"
